"intexts","Freq"
"asot",3
"asparagus",167
"aspca",4
"aspect",393
"aspects",381
"aspen",59
"asphalt",67
"aspiration",28
"aspirations",77
"aspire",58
"aspirin",49
"aspiring",96
"aspx",15
"ass",1546
"assassin",74
"assassins",31
"assault",554
"assaulted",103
"assed",16
"assemble",130
"assembled",146
"assembling",53
"assembly",616
"assert",56
"asses",70
"assessing",79
"assessment",307
"asset",237
"assets",465
"asshole",124
"assholes",52
"assign",56
"assigned",270
"assignment",224
"assignments",130
"assimilate",16
"assist",319
"assistance",438
"assistant",987
"assisted",158
"assists",419
"assn",53
"assoc",16
"associate",321
"associated",920
"associates",247
"association",1520
"associations",101
"assortment",86
"asst",8
"assume",526
"assumed",262
"assumes",74
"assuming",260
"assumption",123
"assumptions",95
"assurance",63
"assure",151
"assured",278
"astd",22
"asthma",100
"aston",29
"astonishing",88
"astoria",43
"astro",19
"astrology",39
"astrologyfacts",3
"astronaut",50
"astros",82
"asu",80
"aswell",23
"asylum",95
"at",96757
"atcha",10
"ate",680
"atheism",37
"atheist",85
"atheists",37
"athena",26
"athens",118
"athlete",302
"athletes",491
"athletic",576
"athleticism",53
"athletics",164
"atkins",49
"atkinson",48
"atl",113
"atlanta",718
"atlantic",556
"atlantis",36
"atlas",47
"atleast",49
"atm",87
"atmosphere",447
"atms",16
"atomic",63
"atoms",18
"atop",217
"atrium",27
"ats",21
"att",32
"atta",12
"attach",129
"attached",498
"attaching",44
"attachment",109
"attachments",28
"attack",1321
"attacked",347
"attacker",60
"attacking",191
"attacks",743
"attain",58
"attained",36
"attempt",1196
"attempted",439
"attempting",325
"attempts",556
"attend",906
"attendance",335
"attendant",86
"attendants",42
"attended",716
"attendee",27
"attendees",138
"attending",548
"attention",2313
"attentive",56
"attest",61
"attic",103
"atticus",11
"attire",84
"attitude",640
"attitudes",167
"attn",31
"attorney",1953
"attorneys",437
"attract",336
"attracted",273
"attracting",101
"attraction",205
"attractions",136
"attractive",395
"attracts",110
"attributed",129
"attributes",113
"attribution",17
"atty",34
"atv",8
"atx",18
"atxcouncil",3
"au",128
"aubrey",46
"auburn",138
"auction",373
"auctioned",28
"auctions",65
"audacious",26
"audacity",32
"audi",38
"audible",39
"audience",1258
"audiences",263
"audio",325
"audiobooks",7
"audit",232
"auditing",18
"audition",189
"auditioned",16
"auditioning",30
"auditions",126
"auditorium",130
"audits",57
"audrey",93
"aug",509
"augie",14
"augment",24
"augmented",28
"august",1148
"augusta",86
"augustine",49
"auld",8
"aunt",326
"auntie",65
"aunts",56
"aunty",17
"aura",54
"aurora",102
"aus",18
"aussie",50
"austen",74
"austerity",143
"austin",946
"austins",10
"australia",495
"australian",291
"austream",6
"austria",72
"auth",4
"authentic",246
"authenticity",83
"author",1621
"authoring",8
"authorities",1224
"authority",1196
"authorize",33
"authors",677
"authorship",16
"autism",296
"auto",627
"autobiography",58
"autocorrect",17
"autograph",66
"autographed",41
"autographs",56
"automate",6
"automated",89
"automatic",238
"automatically",240
"automation",10
"automobile",88
"automotive",106
"autonomy",56
"autopsy",87
"autos",28
"autotune",3
"autozone",4
"autumn",244
"av",256
"ava",63
"avail",68
"availability",171
"available",3055
"avalanche",39
"avatar",133
"avatars",15
"ave",725
"avenged",12
"avenger",27
"avengers",348
"aventura",3
"avenue",1318
"average",2017
"averaged",251
"averages",75
"averaging",196
"aversion",39
"averted",31
"avery",105
"avg",36
"avi",76
"aviation",151
"avid",113
"aviv",36
"avocado",152
"avocados",35
"avoid",1225
"avoided",205
"avoiding",220
"avoids",60
"avon",125
"avp",3
"avril",17
"avs",13
"aw",289
"await",89
"awaited",97
"awaiting",208
"awaits",81
"awake",391
"awaken",37
"awakened",58
"awakening",93
"award",1385
"awarded",339
"awards",835
"aware",999
"awareness",532
"away",8328
"awd",13
"awe",238
"awee",6
"awesome",3295
"awesomeness",82
"awful",489
"awfully",66
"awh",28
"awhh",6
"awhile",354
"awk",11
"awkward",512
"awkwardly",45
"awkwardness",33
"awl",10
"awoke",64
"awoken",14
"awp",9
"awry",31
"aws",3
"awsome",33
"aww",223
"awwe",4
